Rating.Agency_Egan-Jones Ratings Company,Rating.Agency_Fitch Ratings,Rating.Agency_Moody's Investors Service,Rating.Agency_Standard & Poor's Ratings Services,Rating,Binary.Rating,Sector_BusEq,Sector_Chems,Sector_Durbl,Sector_Enrgy,Sector_Hlth,Sector_Manuf,Sector_Money,Sector_NoDur,Sector_Other,Sector_Shops,Sector_Telcm,Sector_Utils,Current.Ratio,Long.term.Debt...Capital,Debt.Equity.Ratio,Gross.Margin,Net.Profit.Margin,Asset.Turnover,ROE...Return.On.Equity,Return.On.Tangible.Equity,ROA...Return.On.Assets,ROI...Return.On.Investment,Operating.Cash.Flow.Per.Share,Free.Cash.Flow.Per.Share
0,0,0,1,10,1,0,1,0,0,0,0,0,0,0,0,0,0,0.7332,0.1658,1.1917,10.5508,-15.2618,0.4697,-21.7924,-21.8191,-7.1682,-18.1801,-3.8669,-2.0854
0,0,0,1,5,1,0,0,0,0,1,0,0,0,0,0,0,0,1.9696,0.2541,0.3482,72.9162,15.8592,0.627,28.8592,64.1507,14.5225,21.5253,0.5454,0.3874
0,0,0,1,6,1,0,0,0,0,0,0,1,0,0,0,0,0,1.1756,0.6664,1.9973,31.1455,3.7577,0.1952,2.9534,3.6758,0.7334,0.9171,0.8167,-0.3823
0,0,0,1,9,1,0,0,0,0,0,0,0,0,1,0,0,0,1.1253,0.4806,0.9959,65.5792,14.6954,0.378,17.9655,17.9655,5.5542,9.3308,0.3693,0.2569
0,0,0,1,8,1,0,0,0,0,0,0,0,0,0,1,0,0,1.5995,0.1867,0.2668,21.1103,3.5781,1.5406,9.0769,152.2919,5.5044,7.3826,0.6878,0.9978
0,0,0,1,9,1,0,0,0,0,0,0,0,0,0,1,0,0,1.5995,0.1867,0.2668,21.1103,3.5781,1.5406,9.0769,152.2919,5.5044,7.3826,0.6878,0.9978
0,0,0,1,7,1,0,0,0,0,0,0,0,0,0,0,0,1,1.1757,0.5239,1.1602,64.3555,8.179,0.2721,8.6461,8.6983,2.2254,4.1167,0.0697,-0.2621
0,0,0,1,7,1,0,0,0,0,0,0,0,0,0,0,0,1,1.1757,0.5239,1.1602,64.3555,8.179,0.2721,8.6461,8.6983,2.2254,4.1167,0.0697,-0.2621
0,0,0,1,15,0,0,0,0,1,0,0,0,0,0,0,0,0,1.2684,0.4778,0.9272,9.0722,0.7471,2.1548,4.3932,5.2145,1.6427,2.1897,0.6791,0.3975
0,0,0,1,15,0,0,0,0,1,0,0,0,0,0,0,0,0,1.2684,0.4778,0.9272,9.0722,0.7471,2.1548,4.3932,5.2145,1.6427,2.1897,0.6791,0.3975
0,0,0,1,15,0,0,0,0,1,0,0,0,0,0,0,0,0,1.2684,0.4778,0.9272,9.0722,0.7471,2.1548,4.3932,5.2145,1.6427,2.1897,0.6791,0.3975
0,0,0,1,6,1,0,0,0,0,0,0,0,0,1,0,0,0,3.3127,0.1644,0.215,42.795,47.4915,0.3153,13.0338,13.3021,8.5988,10.8913,1.5588,0.68
0,0,0,1,9,1,0,0,0,1,0,0,0,0,0,0,0,0,0.6882,0.2883,0.405,63.4828,11.8489,0.3357,12.2173,12.2173,6.0086,8.6956,0.8872,-1.4713
